I_alpha,I_beta,Irradiance,Temperature
0.30940320561204,4.26166474941403,300,25
0.312232495645597,4.13129284440697,300,25
0.287482594570334,3.98269600255183,300,25
0.23999286746822,3.80693701027207,300,25
0.172931943321352,3.60784386559698,300,25
0.0915874055658921,3.39667419932831,300,25
0.0028813958965046,3.1747373727695,300,25
-0.0845041313059633,2.93909336929963,300,25
-0.166322501959572,2.69738714574689,300,25
-0.238347642556971,2.46154078270407,300,25
-0.297640463929996,2.24564030162271,300,25
-0.339752561000898,2.05453452362089,300,25
-0.363804655891466,1.88157784736029,300,25
-0.372827115127666,1.72637362269031,300,25
-0.370148709599095,1.59009874533314,300,25
-0.359760082387261,1.47508309991727,300,25
-0.343789515319998,1.37566320282483,300,25
-0.326083776013596,1.27666261268643,300,25
-0.31172087761856,1.17265863760769,300,25
-0.304422967949659,1.06332573046678,300,25
-0.30577433038666,0.946873853938858,300,25
-0.316897776076411,0.815772540966285,300,25
-0.339077724124077,0.672818429992587,300,25
-0.372059053792002,0.525769967255119,300,25
-0.414548755018473,0.385300040981933,300,25
-0.463451497542191,0.255673333496443,300,25
-0.516551919754786,0.133441064091906,300,25
-0.571438573660587,0.0209123943576555,300,25
-0.625557765128566,-0.0783761138224914,300,25
-0.676350786807358,-0.168577885841317,300,25
-0.716680701442518,-0.264659377322602,300,25
-0.742356928499046,-0.371769550811941,300,25
-0.757663237633643,-0.490267356503935,300,25
-0.764305563345417,-0.616333379560006,300,25
-0.759933806841734,-0.751509762907393,300,25
-0.738207283364972,-0.90642752401032,300,25
-0.692917924511457,-1.08097910372516,300,25
-0.633411253129748,-1.27008867841465,300,25
-0.573123827913055,-1.46532371426811,300,25
-0.524711940738873,-1.65674265061527,300,25
-0.482305678646591,-1.84049899706884,300,25
-0.432173060326742,-2.0220665489668,300,25
-0.378212112825018,-2.20199783529883,300,25
-0.327216688030115,-2.37985777598155,300,25
-0.288922530521451,-2.5545427312801,300,25
-0.26462909374304,-2.72465930021186,300,25
-0.243807976273509,-2.88890283438396,300,25
-0.226237769413018,-3.04637880107796,300,25
-0.215556178530502,-3.19682372153776,300,25
-0.208471057339469,-3.34070711379331,300,25
-0.192260833868472,-3.47921357063268,300,25
-0.166396471520217,-3.61412475537421,300,25
-0.136170473174131,-3.74762519527739,300,25
-0.101293611398968,-3.88207107443953,300,25
-0.0531733699986097,-4.01976148298335,300,25
0.0047454353227694,-4.16274820685628,300,25
0.0634269595234661,-4.31270193788762,300,25
0.110382302276646,-4.47084998174152,300,25
0.150834067875737,-4.62352637419427,300,25
0.197424252324115,-4.76302636049885,300,25
0.251713129970063,-4.88588605353762,300,25
0.309525465855229,-4.99289857460682,300,25
0.362258287332991,-5.08873286235645,300,25
0.415221388653404,-5.17108626515627,300,25
0.48691668680822,-5.23164491471718,300,25
0.581046287456926,-5.27125291283658,300,25
0.693576531151799,-5.29581853643418,300,25
0.814186633731968,-5.31469973682652,300,25
0.939787157942075,-5.33929988258241,300,25
1.07980914183083,-5.37186813654599,300,25
1.23937332098414,-5.4050954891503,300,25
1.41429948359545,-5.43859388235413,300,25
1.59514413004529,-5.47475228959018,300,25
1.79126928747997,-5.50894526171299,300,25
2.00876823442598,-5.52921188195366,300,25
2.24401485781057,-5.5338275549384,300,25
2.48801299928811,-5.52664029465393,300,25
2.72842507915637,-5.51600242873806,300,25
2.95694785004851,-5.50434946341211,300,25
3.17174041257385,-5.48590756683016,300,25
3.36811160242214,-5.46404154350511,300,25
3.5419194077132,-5.445845431971,300,25
3.69522289813914,-5.43209185237315,300,25
3.83718751514771,-5.41478079817237,300,25
3.97293790323011,-5.39512994863355,300,25
4.10563057393532,-5.37851844148661,300,25
4.23635195806269,-5.37325837069964,300,25
4.36929899958999,-5.38048856192927,300,25
4.51302766188623,-5.39127411796433,300,25
4.66922095771036,-5.40576110397372,300,25
4.83597550378559,-5.4276542405911,300,25
5.01003820575401,-5.44918452124709,300,25
5.18806106922505,-5.44630908879666,300,25
5.36465024648074,-5.41362243438494,300,25
5.53421296371029,-5.35526719308324,300,25
5.69189989244478,-5.28289688155222,300,25
5.83925625008559,-5.20497799291963,300,25
5.98105268972946,-5.11326403370162,300,25
6.11185090112648,-4.99888324313039,300,25
6.23077320532614,-4.86660969019072,300,25
