I_alpha,I_beta,Irradiance,Temperature
-2.25336809872409,6.01271799551746,300,25
-2.37221450602124,5.88019980727083,300,25
-2.50122119364196,5.72960478357836,300,25
-2.63608132434569,5.55200528217516,300,25
-2.77448246827378,5.35148491003052,300,25
-2.91439583581408,5.13947124808264,300,25
-3.05267342450856,4.91729822718025,300,25
-3.18065253001843,4.68202678440488,300,25
-3.2951951640693,4.44115515699318,300,25
-3.39658096763908,4.20643505352131,300,25
-3.48828431562859,3.99175781136896,300,25
-3.57104306940527,3.80183666484854,300,25
-3.64176492878537,3.63005033410962,300,25
-3.70332686426405,3.47592127205974,300,25
-3.76140166400006,3.34063917045933,300,25
-3.81840570000297,3.21793271630979,300,25
-3.87173727347069,3.09248095151239,300,25
-3.92423875090759,2.95941712666161,300,25
-3.97834522389247,2.82351297172459,300,25
-4.03415771918864,2.70072428581368,300,25
-4.08909739780032,2.59832104608148,300,25
-4.13270889196891,2.51807921592111,300,25
-4.16356369175084,2.46443775867656,300,25
-4.18521631185237,2.44087762203847,300,25
-4.19260409849671,2.44278547169579,300,25
-4.16763006349447,2.4547616562227,300,25
-4.10904306745006,2.46887689067757,300,25
-4.02404845194455,2.48070833005663,300,25
-3.92642684032562,2.48914199448151,300,25
-3.82846821240417,2.48925681646977,300,25
-3.72386617831782,2.47485361880822,300,25
-3.60701190531602,2.4366955945983,300,25
-3.48295161963948,2.37379052359192,300,25
-3.36161559003379,2.29020397269844,300,25
-3.25104184810013,2.18576839806242,300,25
-3.13926590853615,2.06036847118317,300,25
-3.01468683291118,1.91212380887395,300,25
-2.87719737946292,1.74632491632492,300,25
-2.7326839476238,1.57224963831428,300,25
-2.59141936575559,1.40146576411096,300,25
-2.45521431605046,1.24234213384139,300,25
-2.31505853126383,1.09406718218983,300,25
-2.17274910489064,0.958990222571474,300,25
-2.03330697493314,0.840468027342686,300,25
-1.89513604408475,0.740134134928282,300,25
-1.7502761661925,0.651835103779707,300,25
-1.60056953509305,0.571580858543614,300,25
-1.45145829014029,0.497803063556288,300,25
-1.31096669518338,0.430379335186307,300,25
-1.17964753929883,0.36797238754339,300,25
-1.05081303854201,0.303164730287938,300,25
-0.926620168343341,0.232415464468218,300,25
-0.815051830140569,0.15754449013927,300,25
-0.714740411756008,0.0791102063143508,300,25
-0.617578291560578,-0.0076464973211107,300,25
-0.523070262463001,-0.10300664503347,300,25
-0.436481767669981,-0.203032365149109,300,25
-0.364776909977515,-0.301357395672809,300,25
-0.305779005270987,-0.394866161948004,300,25
-0.249730483580211,-0.486998621778254,300,25
-0.193422299508146,-0.57740942090233,300,25
-0.136614712506865,-0.664169008528172,300,25
-0.0814513850193511,-0.744243164645381,300,25
-0.0230977889735241,-0.817967425544523,300,25
0.0502744398376782,-0.88821923278187,300,25
0.142133019021721,-0.954567227236442,300,25
0.248738419296722,-1.01897594304612,300,25
0.363655978210369,-1.08037382975086,300,25
0.488171819127183,-1.13916868959508,300,25
0.632261506673653,-1.19384326673991,300,25
0.796031382421198,-1.24397176365609,300,25
0.971047593522263,-1.29555502527316,300,25
1.14689166091047,-1.35227927212525,300,25
1.33500248583684,-1.40701791077386,300,25
1.53835864189209,-1.45491808361936,300,25
1.75278431879734,-1.49728877730638,300,25
1.96979669369221,-1.53918784628704,300,25
2.17851272953674,-1.5882539042258,300,25
2.37261330119934,-1.64475495635245,300,25
2.55239895106957,-1.69980839128081,300,25
2.71528069179606,-1.75308199923963,300,25
2.85870653157359,-1.80828548317836,300,25
2.98577576068008,-1.86333636703593,300,25
3.10598357098442,-1.90838222760803,300,25
3.22403647934351,-1.94409191640765,300,25
3.34219920328465,-1.9763055420694,300,25
3.46037322306892,-2.01463018948334,300,25
3.58138344572231,-2.06221036611352,300,25
3.71252501129828,-2.11231035221858,300,25
3.8545771179396,-2.16701589553344,300,25
4.00510205508946,-2.23158457318042,300,25
4.16065113040818,-2.29936749211956,300,25
4.31814112900101,-2.34674199674971,300,25
4.47276957571574,-2.36775501007452,300,25
4.61963050783154,-2.36547528739819,300,25
4.75456383701124,-2.35050446280436,300,25
4.87965271123293,-2.32996147211407,300,25
5.00020962604641,-2.29444505823465,300,25
5.11114001601516,-2.2342041732562,300,25
5.21161906397685,-2.1533348713709,300,25
