V,I,P,Irr,T
32.22915,2.788257657,89.86317425,100,40
32.4571,2.788184287,90.49637621,100,40
32.68505,2.788110916,91.12954471,100,40
32.913,2.788037546,91.76267975,100,40
33.14095,2.787964175,92.39578132,100,40
33.3689,2.787890804,93.02884944,100,40
33.59685,2.787817432,93.6618841,100,40
33.8248,2.78774406,94.29488529,100,40
34.05275,2.787670688,94.92785302,100,40
34.2807,2.787597316,95.56078729,100,40
34.50865,2.787523943,96.1936881,100,40
34.7366,2.787450569,96.82655544,100,40
34.96455,2.787377195,97.45938932,100,40
35.1925,2.787303821,98.09218973,100,40
35.42045,2.787230447,98.72495668,100,40
35.6484,2.787157072,99.35769016,100,40
35.87635,2.787083696,99.99039017,100,40
36.1043,2.787010321,100.6230567,100,40
36.33225,2.786936944,101.2556898,100,40
36.5602,2.786863568,101.8882894,100,40
36.78815,2.78679019,102.5208555,100,40
37.0161,2.786716813,103.1533882,100,40
37.24405,2.786643434,103.7858874,100,40
37.472,2.786570056,104.4183531,100,40
37.69995,2.786496676,105.0507854,100,40
37.9279,2.786423297,105.6831841,100,40
38.15585,2.786349916,106.3155494,100,40
38.3838,2.786276535,106.9478813,100,40
38.61175,2.786203154,107.5801796,100,40
38.8397,2.786129771,108.2124445,100,40
39.06765,2.786056389,108.8446759,100,40
39.2956,2.785983005,109.4768738,100,40
39.52355,2.785909621,110.1090382,100,40
39.7515,2.785836236,110.7411692,100,40
39.97945,2.785762851,111.3732666,100,40
40.2074,2.785689465,112.0053306,100,40
40.43535,2.785616078,112.6373611,100,40
40.6633,2.78554269,113.2693581,100,40
40.89125,2.785469302,113.9013216,100,40
41.1192,2.785395913,114.5332516,100,40
41.34715,2.785322523,115.1651482,100,40
41.5751,2.785249132,115.7970112,100,40
41.80305,2.78517574,116.4288407,100,40
42.031,2.785102348,117.0606368,100,40
42.25895,2.785028954,117.6923993,100,40
42.4869,2.78495556,118.3241284,100,40
42.71485,2.784882165,118.9558239,100,40
42.9428,2.784808769,119.587486,100,40
43.17075,2.784735371,120.2191145,100,40
43.3987,2.784661973,120.8507096,100,40
43.62665,2.784588574,121.4822711,100,40
43.8546,2.784515173,122.1137991,100,40
44.08255,2.784441772,122.7452936,100,40
44.3105,2.784368369,123.3767546,100,40
44.53845,2.784294965,124.0081821,100,40
44.7664,2.78422156,124.6395761,100,40
44.99435,2.784148154,125.2709365,100,40
45.2223,2.784074747,125.9022634,100,40
45.45025,2.784001338,126.5335568,100,40
45.6782,2.783927928,127.1648167,100,40
45.90615,2.783854516,127.796043,100,40
46.1341,2.783781103,128.4272358,100,40
46.36205,2.783707689,129.0583951,100,40
46.59,2.783634273,129.6895208,100,40
46.81795,2.783560856,130.320613,100,40
47.0459,2.783487437,130.9516716,100,40
47.27385,2.783414017,131.5826967,100,40
47.5018,2.783340595,132.2136883,100,40
47.72975,2.783267171,132.8446463,100,40
47.9577,2.783193746,133.4755707,100,40
48.18565,2.783120319,134.1064616,100,40
48.4136,2.783046889,134.7373189,100,40
48.64155,2.782973459,135.3681426,100,40
48.8695,2.782900026,135.9989328,100,40
49.09745,2.782826591,136.6296894,100,40
49.3254,2.782753154,137.2604124,100,40
49.55335,2.782679716,137.8911019,100,40
49.7813,2.782606275,138.5217577,100,40
50.00925,2.782532831,139.15238,100,40
50.2372,2.782459386,139.7829687,100,40
50.46515,2.782385938,140.4135237,100,40
50.6931,2.782312488,141.0440452,100,40
50.92105,2.782239036,141.6745331,100,40
51.149,2.782165581,142.3049873,100,40
51.37695,2.782092124,142.9354079,100,40
51.6049,2.782018664,143.5657949,100,40
51.83285,2.781945201,144.1961483,100,40
52.0608,2.781871736,144.826468,100,40
52.28875,2.781798267,145.4567541,100,40
52.5167,2.781724796,146.0870066,100,40
52.74465,2.781651322,146.7172254,100,40
52.9726,2.781577845,147.3474105,100,40
53.20055,2.781504364,147.977562,100,40
53.4285,2.781430881,148.6076798,100,40
53.65645,2.781357394,149.2377639,100,40
53.8844,2.781283904,149.8678144,100,40
54.11235,2.78121041,150.4978311,100,40
54.3403,2.781136913,151.1278142,100,40
54.56825,2.781063412,151.7577635,100,40
54.7962,2.780989907,152.3876791,100,40
55.02415,2.780916398,153.017561,100,40
55.2521,2.780842886,153.6474092,100,40
55.48005,2.780769369,154.2772236,100,40
55.708,2.780695848,154.9070043,100,40
55.93595,2.780622323,155.5367512,100,40
56.1639,2.780548794,156.1664644,100,40
56.39185,2.78047526,156.7961438,100,40
56.6198,2.780401721,157.4257894,100,40
56.84775,2.780328177,158.0554012,100,40
57.0757,2.780254629,158.6849791,100,40
57.30365,2.780181076,159.3145233,100,40
57.5316,2.780107517,159.9440336,100,40
57.75955,2.780033954,160.5735101,100,40
57.9875,2.779960385,161.2029528,100,40
58.21545,2.77988681,161.8323616,100,40
58.4434,2.779813229,162.4617365,100,40
58.67135,2.779739643,163.0910775,100,40
58.8993,2.779666051,163.7203846,100,40
59.12725,2.779592452,164.3496578,100,40
59.3552,2.779518848,164.9788971,100,40
59.58315,2.779445236,165.6081024,100,40
59.8111,2.779371618,166.2372738,100,40
60.03905,2.779297993,166.8664112,100,40
60.267,2.779224361,167.4955146,100,40
60.49495,2.779150722,168.124584,100,40
60.7229,2.779077076,168.7536194,100,40
60.95085,2.779003422,169.3826207,100,40
61.1788,2.77892976,170.011588,100,40
61.40675,2.77885609,170.6405212,100,40
61.6347,2.778782412,171.2694203,100,40
61.86265,2.778708725,171.8982853,100,40
62.0906,2.77863503,172.5271162,100,40
62.31855,2.778561325,173.1559129,100,40
62.5465,2.778487612,173.7846754,100,40
62.77445,2.778413889,174.4134038,100,40
63.0024,2.778340157,175.0420979,100,40
63.23035,2.778266415,175.6707578,100,40
63.4583,2.778192662,176.2993834,100,40
63.68625,2.7781189,176.9279748,100,40
63.9142,2.778045126,177.5565318,100,40
64.14215,2.777971342,178.1850545,100,40
64.3701,2.777897546,178.8135428,100,40
64.59805,2.777823739,179.4419968,100,40
64.826,2.77774992,180.0704163,100,40
65.05395,2.777676089,180.6988014,100,40
65.2819,2.777602245,181.327152,100,40
65.50985,2.777528389,181.9554681,100,40
65.7378,2.777454519,182.5837497,100,40
65.96575,2.777380636,183.2119967,100,40
66.1937,2.777306739,183.8402091,100,40
66.42165,2.777232827,184.4683868,100,40
66.6496,2.777158901,185.0965299,100,40
66.87755,2.777084961,185.7246383,100,40
67.1055,2.777011004,186.3527119,100,40
67.33345,2.776937032,186.9807508,100,40
67.5614,2.776863044,187.6087549,100,40
67.78935,2.776789039,188.236724,100,40
68.0173,2.776715017,188.8646583,100,40
68.24525,2.776640978,189.4925577,100,40
68.4732,2.77656692,190.120422,100,40
68.70115,2.776492844,190.7482514,100,40
68.9291,2.776418749,191.3760456,100,40
69.15705,2.776344635,192.0038047,100,40
69.385,2.7762705,192.6315287,100,40
69.61295,2.776196345,193.2592174,100,40
69.8409,2.77612217,193.8868708,100,40
70.06885,2.776047972,194.5144889,100,40
70.2968,2.775973752,195.1420717,100,40
70.52475,2.77589951,195.769619,100,40
70.7527,2.775825244,196.3971308,100,40
70.98065,2.775750954,197.024607,100,40
71.2086,2.77567664,197.6520476,100,40
71.43655,2.7756023,198.2794525,100,40
71.6645,2.775527935,198.9068217,100,40
71.89245,2.775453543,199.534155,100,40
72.1204,2.775379123,200.1614525,100,40
72.34835,2.775304676,200.788714,100,40
72.5763,2.7752302,201.4159395,100,40
72.80425,2.775155694,202.0431289,100,40
73.0322,2.775081158,202.6702821,100,40
73.26015,2.77500659,203.2973991,100,40
73.4881,2.774931991,203.9244797,100,40
73.71605,2.774857359,204.5515238,100,40
73.944,2.774782694,205.1785315,100,40
74.17195,2.774707994,205.8055026,100,40
74.3999,2.774633258,206.4324369,100,40
74.62785,2.774558486,207.0593345,100,40
74.8558,2.774483677,207.6861952,100,40
75.08375,2.774408829,208.3130189,100,40
75.3117,2.774333942,208.9398055,100,40
75.53965,2.774259015,209.566555,100,40
75.7676,2.774184046,210.1932671,100,40
75.99555,2.774109035,210.8199418,100,40
76.2235,2.77403398,211.446579,100,40
76.45145,2.77395888,212.0731786,100,40
76.6794,2.773883734,212.6997404,100,40
76.90735,2.773808541,213.3262643,100,40
77.1353,2.773733299,213.9527501,100,40
77.36325,2.773658008,214.5791979,100,40
77.5912,2.773582665,215.2056073,100,40
77.81915,2.773507271,215.8319783,100,40
78.0471,2.773431822,216.4583108,100,40
78.27505,2.773356318,217.0846045,100,40
78.503,2.773280758,217.7108593,100,40
78.73095,2.773205139,218.3370752,100,40
78.9589,2.773129461,218.9632518,100,40
79.18685,2.773053721,219.5893891,100,40
79.4148,2.772977919,220.2154868,100,40
