I_alpha,I_beta,Irradiance,Temperature
-5.07604828130657,2.13125609593557,300,25
-5.19173857822845,2.02714459615794,300,25
-5.31092630322759,1.90919340539139,300,25
-5.42833729610077,1.77025708066825,300,25
-5.54199566632774,1.61512775921326,300,25
-5.65122758592626,1.45478337869864,300,25
-5.75669046878133,1.30393272801756,300,25
-5.86354102176842,1.15519578525583,300,25
-5.96917527826499,0.997571222296466,300,25
-6.07444490870694,0.831013236408415,300,25
-6.18130084444859,0.661075810932182,300,25
-6.28751453923247,0.488719764083095,300,25
-6.38600264875189,0.307830598624985,300,25
-6.47560994657178,0.122573505086084,300,25
-6.55825386095448,-0.0587437635714798,300,25
-6.63850473740008,-0.225268879199798,300,25
-6.71770530099447,-0.37426633872113,300,25
-6.79245309407076,-0.513789587886546,300,25
-6.86503160605002,-0.644250718550241,300,25
-6.94007171543245,-0.763580256466519,300,25
-7.0189141969996,-0.87621521537596,300,25
-7.09771804953109,-0.995568712490074,300,25
-7.17826313481623,-1.12458736252282,300,25
-7.26461533862849,-1.26100994501023,300,25
-7.35562951789688,-1.39830755252406,300,25
-7.43731660147568,-1.53565766414432,300,25
-7.49848371482187,-1.68168267800526,300,25
-7.53805680256554,-1.83500198812671,300,25
-7.56157312675446,-1.9903662743747,300,25
-7.57499561564402,-2.14817176788341,300,25
-7.57168786175787,-2.31831865016803,300,25
-7.53963658436918,-2.50047330250254,300,25
-7.4816209612683,-2.68993616162185,300,25
-7.40759190441886,-2.87897757039894,300,25
-7.32772455907213,-3.06677129939813,300,25
-7.23880891762856,-3.26334874018044,300,25
-7.13352110348889,-3.46605701763295,300,25
-7.02016129767604,-3.66417367559892,300,25
-6.91010892125261,-3.84908858407862,300,25
-6.81708175016541,-4.01347838282243,300,25
-6.74174332562614,-4.15825109798602,300,25
-6.66693662701519,-4.2946659204071,300,25
-6.58860506722965,-4.42927835970927,300,25
-6.50815124354367,-4.56692900912464,300,25
-6.42169066278178,-4.71038726086426,300,25
-6.31707509037883,-4.86034176968778,300,25
-6.19554673235878,-5.01566623639857,300,25
-6.06524469609184,-5.1739474995009,300,25
-5.93905217040048,-5.3321345214227,300,25
-5.82225026886669,-5.4872143716433,300,25
-5.70903494409201,-5.6368000276187,300,25
-5.60294011637052,-5.77952700444665,300,25
-5.5105734151852,-5.91527564698384,300,25
-5.42995076528946,-6.04519001551267,300,25
-5.34917214447039,-6.1715037378117,300,25
-5.26663574047912,-6.29720341896344,300,25
-5.18560346170434,-6.42564148928954,300,25
-5.11308684982876,-6.56013722270795,300,25
-5.03970485392064,-6.68921827188805,300,25
-4.95079962793822,-6.80715207926816,300,25
-4.84435570022375,-6.91219444450808,300,25
-4.7254893319168,-7.00605036857934,300,25
-4.59404591825114,-7.09318706948704,300,25
-4.43845005955423,-7.17075829339,300,25
-4.25430181666532,-7.22943323654837,300,25
-4.04801570938832,-7.26873567105399,300,25
-3.83229800009935,-7.2930493942199,300,25
-3.61254760555336,-7.31049149090663,300,25
-3.38177875822444,-7.32238884915812,300,25
-3.13634180901957,-7.32251088550715,300,25
-2.88094520232089,-7.3129977993448,300,25
-2.62495964903753,-7.29977193581896,300,25
-2.38016254482977,-7.29124367597535,300,25
-2.14691650625802,-7.2880202227736,300,25
-1.92208374825974,-7.28187129561988,300,25
-1.70729746312236,-7.27278058739625,300,25
-1.50566040406238,-7.26418195020698,300,25
-1.32113822967605,-7.26235696418849,300,25
-1.15269413703445,-7.26650285848083,300,25
-0.993295443056891,-7.2669732207178,300,25
-0.840455312640088,-7.26321315111417,300,25
-0.693697864961834,-7.25895817701387,300,25
-0.549381433976121,-7.25280585882097,300,25
-0.399494478057849,-7.23566970748611,300,25
-0.242521449026441,-7.2091454531333,300,25
-0.0804033968517753,-7.17998463512023,300,25
0.0872309546708863,-7.15000708080817,300,25
0.264972837714286,-7.11284525887903,300,25
0.451031593277287,-7.07241575848437,300,25
0.640942057325792,-7.03675784290547,300,25
0.828634118311902,-7.0164733396906,300,25
1.00911514781352,-7.0088158157982,300,25
1.17977302711156,-6.99228351903388,300,25
1.33786110011433,-6.96125701154272,300,25
1.48182985863112,-6.91742936736202,300,25
1.61628985257534,-6.86030791909959,300,25
1.75321965483849,-6.78319042921102,300,25
1.89487124335031,-6.68404585188377,300,25
2.03467046867028,-6.55616164166522,300,25
2.16946025896886,-6.40672193951361,300,25
