V,I,P,Irr,T
31.31735,1.405021546,44.00155152,100,50
31.5453,1.404984703,44.32066395,100,50
31.77325,1.40494786,44.63975958,100,50
32.0012,1.404911016,44.95883842,100,50
32.22915,1.404874173,45.27790045,100,50
32.4571,1.40483733,45.59694569,100,50
32.68505,1.404800486,45.91597414,100,50
32.913,1.404763643,46.23498578,100,50
33.14095,1.4047268,46.55398063,100,50
33.3689,1.404689956,46.87295868,100,50
33.59685,1.404653113,47.19191993,100,50
33.8248,1.404616269,47.51086439,100,50
34.05275,1.404579426,47.82979204,100,50
34.2807,1.404542582,48.1487029,100,50
34.50865,1.404505739,48.46759696,100,50
34.7366,1.404468895,48.78647422,100,50
34.96455,1.404432052,49.10533469,100,50
35.1925,1.404395208,49.42417836,100,50
35.42045,1.404358364,49.74300522,100,50
35.6484,1.404321521,50.06181529,100,50
35.87635,1.404284677,50.38060857,100,50
36.1043,1.404247833,50.69938504,100,50
36.33225,1.404210989,51.01814472,100,50
36.5602,1.404174145,51.33688759,100,50
36.78815,1.404137302,51.65561367,100,50
37.0161,1.404100458,51.97432295,100,50
37.24405,1.404063614,52.29301543,100,50
37.472,1.40402677,52.61169112,100,50
37.69995,1.403989926,52.93035,100,50
37.9279,1.403953082,53.24899209,100,50
38.15585,1.403916238,53.56761737,100,50
38.3838,1.403879393,53.88622586,100,50
38.61175,1.403842549,54.20481755,100,50
38.8397,1.403805705,54.52339244,100,50
39.06765,1.403768861,54.84195053,100,50
39.2956,1.403732016,55.16049182,100,50
39.52355,1.403695172,55.47901632,100,50
39.7515,1.403658328,55.79752401,100,50
39.97945,1.403621483,56.1160149,100,50
40.2074,1.403584639,56.434489,100,50
40.43535,1.403547794,56.75294629,100,50
40.6633,1.403510949,57.07138679,100,50
40.89125,1.403474105,57.38981048,100,50
41.1192,1.40343726,57.70821738,100,50
41.34715,1.403400415,58.02660747,100,50
41.5751,1.40336357,58.34498077,100,50
41.80305,1.403326725,58.66333726,100,50
42.031,1.40328988,58.98167696,100,50
42.25895,1.403253035,59.29999985,100,50
42.4869,1.40321619,59.61830594,100,50
42.71485,1.403179345,59.93659524,100,50
42.9428,1.4031425,60.25486773,100,50
43.17075,1.403105654,60.57312342,100,50
43.3987,1.403068809,60.89136231,100,50
43.62665,1.403031963,61.2095844,100,50
43.8546,1.402995118,61.52778969,100,50
44.08255,1.402958272,61.84597817,100,50
44.3105,1.402921426,62.16414986,100,50
44.53845,1.40288458,62.48230474,100,50
44.7664,1.402847734,62.80044282,100,50
44.99435,1.402810888,63.1185641,100,50
45.2223,1.402774042,63.43666857,100,50
45.45025,1.402737196,63.75475625,100,50
45.6782,1.40270035,64.07282712,100,50
45.90615,1.402663503,64.39088119,100,50
46.1341,1.402626657,64.70891845,100,50
46.36205,1.40258981,65.02693892,100,50
46.59,1.402552964,65.34494257,100,50
46.81795,1.402516117,65.66292943,100,50
47.0459,1.40247927,65.98089948,100,50
47.27385,1.402442423,66.29885273,100,50
47.5018,1.402405576,66.61678917,100,50
47.72975,1.402368728,66.93470881,100,50
47.9577,1.402331881,67.25261165,100,50
48.18565,1.402295033,67.57049768,100,50
48.4136,1.402258186,67.8883669,100,50
48.64155,1.402221338,68.20621932,100,50
48.8695,1.40218449,68.52405493,100,50
49.09745,1.402147642,68.84187374,100,50
49.3254,1.402110794,69.15967574,100,50
49.55335,1.402073945,69.47746093,100,50
49.7813,1.402037097,69.79522932,100,50
50.00925,1.402000248,70.1129809,100,50
50.2372,1.401963399,70.43071568,100,50
50.46515,1.40192655,70.74843364,100,50
50.6931,1.401889701,71.0661348,100,50
50.92105,1.401852852,71.38381915,100,50
51.149,1.401816002,71.70148669,100,50
51.37695,1.401779152,72.01913742,100,50
51.6049,1.401742302,72.33677134,100,50
51.83285,1.401705452,72.65438845,100,50
52.0608,1.401668602,72.97198876,100,50
52.28875,1.401631752,73.28957225,100,50
52.5167,1.401594901,73.60713893,100,50
52.74465,1.40155805,73.9246888,100,50
52.9726,1.401521199,74.24222185,100,50
53.20055,1.401484347,74.5597381,100,50
53.4285,1.401447496,74.87723753,100,50
53.65645,1.401410644,75.19472015,100,50
53.8844,1.401373792,75.51218595,100,50
54.11235,1.40133694,75.82963494,100,50
54.3403,1.401300087,76.14706712,100,50
54.56825,1.401263234,76.46448248,100,50
54.7962,1.401226381,76.78188102,100,50
55.02415,1.401189528,77.09926275,100,50
55.2521,1.401152674,77.41662766,100,50
55.48005,1.40111582,77.73397575,100,50
55.708,1.401078966,78.05130703,100,50
55.93595,1.401042111,78.36862149,100,50
56.1639,1.401005256,78.68591912,100,50
56.39185,1.400968401,79.00319994,100,50
56.6198,1.400931546,79.32046394,100,50
56.84775,1.40089469,79.63771111,100,50
57.0757,1.400857834,79.95494146,100,50
57.30365,1.400820977,80.27215499,100,50
57.5316,1.40078412,80.5893517,100,50
57.75955,1.400747263,80.90653158,100,50
