V_1,I_1,P_1,V_2,I_2,P_2,Irr,T
65.538649,1.390769,91.149136,65.538651,1.393389,91.320858,100,40
66.222486,1.390631,92.091071,66.222489,1.393279,92.266407,100,40
66.906324,1.390494,93.032817,66.906326,1.393169,93.211804,100,40
67.590161,1.390356,93.974372,67.590164,1.393058,94.157051,100,40
68.273999,1.390218,94.915736,68.274001,1.392948,95.102146,100,40
68.957836,1.39008,95.85691,68.957839,1.392838,96.047091,100,40
69.641673,1.389942,96.797892,69.641676,1.392728,96.991884,100,40
70.325511,1.389804,97.738683,70.325514,1.392617,97.936526,100,40
71.009348,1.389666,98.679282,71.009351,1.392507,98.881017,100,40
71.693186,1.389528,99.619688,71.693189,1.392397,99.825357,100,40
72.377023,1.38939,100.559902,72.377026,1.392286,100.769546,100,40
73.060861,1.389252,101.499922,73.060864,1.392176,101.713583,100,40
73.744698,1.389113,102.439749,73.744701,1.392066,102.657469,100,40
74.428536,1.388975,103.379381,74.428538,1.391955,103.601204,100,40
75.112373,1.388837,104.318818,75.112376,1.391845,104.544788,100,40
75.79621,1.388698,105.258058,75.796213,1.391735,105.48822,100,40
76.480048,1.38856,106.197102,76.480051,1.391624,106.4315,100,40
77.163885,1.388421,107.135947,77.163888,1.391514,107.374629,100,40
77.847723,1.388282,108.074594,77.847726,1.391404,108.317606,100,40
78.53156,1.388143,109.01304,78.531563,1.391293,109.260432,100,40
79.215397,1.388004,109.951285,79.215401,1.391183,110.203106,100,40
79.899235,1.387865,110.889327,79.899238,1.391072,111.145628,100,40
80.583072,1.387725,111.827163,80.583075,1.390962,112.087998,100,40
81.266909,1.387586,112.764794,81.266913,1.390852,113.030216,100,40
81.950747,1.387446,113.702215,81.95075,1.390741,113.972282,100,40
82.634584,1.387306,114.639426,82.634587,1.390631,114.914195,100,40
83.318421,1.387165,115.576423,83.318425,1.39052,115.855956,100,40
84.002259,1.387025,116.513204,84.002262,1.39041,116.797565,100,40
84.686096,1.386884,117.449765,84.686099,1.390299,117.739021,100,40
85.369933,1.386742,118.386104,85.369937,1.390189,118.680324,100,40
86.053771,1.386601,119.322215,86.053774,1.390078,119.621474,100,40
86.737608,1.386459,120.258096,86.737611,1.389968,120.56247,100,40
87.421445,1.386316,121.193741,87.421448,1.389857,121.503313,100,40
88.105282,1.386173,122.129146,88.105286,1.389746,122.444003,100,40
88.789119,1.386029,123.064303,88.789123,1.389636,123.384538,100,40
89.472956,1.385885,123.999207,89.47296,1.389525,124.324919,100,40
90.156793,1.38574,124.933851,90.156797,1.389414,125.265145,100,40
90.84063,1.385594,125.868226,90.840634,1.389304,126.205216,100,40
91.524467,1.385447,126.802325,91.524471,1.389193,127.145132,100,40
92.208304,1.3853,127.736136,92.208308,1.389082,128.084893,100,40
92.892141,1.385151,128.669649,92.892145,1.388971,129.024497,100,40
93.575978,1.385001,129.602853,93.575982,1.38886,129.963944,100,40
94.259815,1.38485,130.535732,94.259819,1.388749,130.903235,100,40
94.943651,1.384698,131.468274,94.943655,1.388638,131.842367,100,40
95.627488,1.384544,132.400462,95.627492,1.388527,132.781342,100,40
96.311325,1.384388,133.332276,96.311329,1.388416,133.720157,100,40
96.995161,1.384231,134.263697,96.995165,1.388304,134.658812,100,40
97.678997,1.384071,135.194703,97.679001,1.388193,135.597307,100,40
98.362833,1.38391,136.125268,98.362838,1.388082,136.535641,100,40
99.04667,1.383745,137.055364,99.046674,1.38797,137.473812,100,40
99.730505,1.383578,137.984953,99.73051,1.387858,138.41182,100,40
100.414341,1.383405,138.913678,100.414345,1.387747,139.349664,100,40
101.098176,1.383226,139.841607,101.098181,1.387635,140.287341,100,40
101.782012,1.383058,140.770428,101.782017,1.387523,141.224853,100,40
102.465847,1.382877,141.697623,102.465852,1.38741,142.162195,100,40
103.149682,1.382689,142.623913,103.149687,1.387298,143.099368,100,40
103.833517,1.3825,143.549838,103.833522,1.387186,144.036369,100,40
104.517351,1.382297,144.474042,104.517356,1.387073,144.973196,100,40
105.201185,1.382102,145.398758,105.20119,1.38696,145.909848,100,40
105.885019,1.381892,146.321649,105.885024,1.386847,146.846323,100,40
106.568852,1.381676,147.243614,106.568857,1.386734,147.782617,100,40
107.252685,1.381454,148.16465,107.25269,1.38662,148.718729,100,40
107.936518,1.381221,149.084202,107.936523,1.386506,149.654656,100,40
108.620349,1.380975,150.001992,108.620355,1.386392,150.590394,100,40
109.304181,1.380723,150.918789,109.304186,1.386278,151.525941,100,40
109.988012,1.38046,151.834034,109.988017,1.386163,152.461292,100,40
110.671842,1.380182,152.747274,110.671848,1.386048,153.396445,100,40
111.355671,1.379889,153.658491,111.355677,1.385932,154.331394,100,40
112.039499,1.379581,154.567528,112.039506,1.385816,155.266134,100,40
112.723327,1.379255,155.47417,112.723333,1.385699,156.200662,100,40
113.407154,1.378909,156.37818,113.40716,1.385582,157.134972,100,40
114.090979,1.378543,157.279294,114.090986,1.385465,158.069057,100,40
114.774803,1.378152,158.177173,114.77481,1.385347,159.002911,100,40
115.458626,1.377737,159.071646,115.458634,1.385228,159.936528,100,40
116.142447,1.377293,159.962206,116.142455,1.385108,160.869898,100,40
116.826267,1.376818,160.848512,116.826275,1.384988,161.803016,100,40
117.510085,1.376309,161.730132,117.510094,1.384867,162.73587,100,40
118.193901,1.375761,162.606587,118.19391,1.384745,163.668452,100,40
118.877715,1.375172,163.477349,118.877724,1.384622,164.600751,100,40
119.561526,1.374538,164.341837,119.561536,1.384498,165.532755,100,40
120.245335,1.373853,165.199409,120.245346,1.384373,166.464452,100,40
120.929141,1.373113,166.049359,120.929152,1.384247,167.395828,100,40
121.612944,1.372312,166.890909,121.612956,1.38412,168.326868,100,40
122.296743,1.371445,167.723204,122.296756,1.383991,169.257556,100,40
122.980539,1.370504,168.545301,122.980552,1.38386,170.187875,100,40
