I_alpha,I_beta,Irradiance,Temperature
-4.43948905594942,6.71517377181579,300,25
-4.56364429144491,6.58009452787137,300,25
-4.68773891646921,6.43322353218402,300,25
-4.80883166569736,6.26445447678495,300,25
-4.92697375136293,6.07604722007303,300,25
-5.04320401372176,5.87740385780913,300,25
-5.15754268580966,5.66775543801016,300,25
-5.26421829741129,5.44258082807471,300,25
-5.36220087485947,5.20829952415955,300,25
-5.45294151506691,4.97628616680584,300,25
-5.54003932215271,4.76064001163352,300,25
-5.62347689957564,4.56686126844217,300,25
-5.69870263137785,4.38943386329965,300,25
-5.76675323481381,4.22915490395815,300,25
-5.83138523119566,4.08843007225746,300,25
-5.89325112393607,3.96185675190421,300,25
-5.94853273254224,3.83480896482148,300,25
-5.99940000052342,3.70267161972664,300,25
-6.05068854795922,3.56606970944936,300,25
-6.10887738398329,3.42988093992628,300,25
-6.17637034119913,3.29379382566151,300,25
-6.2494745338104,3.14894208606534,300,25
-6.32925286095771,2.99658609700788,300,25
-6.41853218179944,2.84250405628792,300,25
-6.50985677191916,2.68718818898946,300,25
-6.58176539126871,2.52205280338154,300,25
-6.62771504419421,2.34854379682702,300,25
-6.64911616700428,2.17231234078538,300,25
-6.65408719805683,2.00176001077202,300,25
-6.65095893755627,1.83822284197258,300,25
-6.6350931007436,1.67195206960286,300,25
-6.59575553147178,1.50187175534417,300,25
-6.5356272441858,1.3301221167902,300,25
-6.46408045243968,1.16129148526091,300,25
-6.39033565537552,0.993207685427112,300,25
-6.30981740441473,0.813326941871503,300,25
-6.21154391574407,0.618897564410784,300,25
-6.09770057858081,0.411518362384182,300,25
-5.97670094593443,0.196382260249341,300,25
-5.861211984235,-0.019060350203415,300,25
-5.75462282334284,-0.229006929625414,300,25
-5.64659426608929,-0.43153240764587,300,25
-5.53834686790113,-0.623394932336667,300,25
-5.43532214822663,-0.80215764885831,300,25
-5.33619783437394,-0.966596697331774,300,25
-5.22951135214224,-1.11688251059117,300,25
-5.11574616473216,-1.25450726352308,300,25
-5.00084879561052,-1.3820505642073,300,25
-4.89480150504307,-1.50280888834284,300,25
-4.79953368334842,-1.62037398575631,300,25
-4.70606306457033,-1.73821659906409,300,25
-4.6154271175601,-1.85931560520423,300,25
-4.53248329255895,-1.98592327771072,300,25
-4.45617888559091,-2.11715411858053,300,25
-4.38330378131941,-2.23937728448605,300,25
-4.31975565886875,-2.34171505035407,300,25
-4.27275195798253,-2.42004633743684,300,25
-4.25083988836643,-2.47485484606053,300,25
-4.24333359493182,-2.49662781587817,300,25
-4.2335720337426,-2.48263753262273,300,25
-4.21685910319421,-2.43546288571875,300,25
-4.19427358298669,-2.36407041493594,300,25
-4.16246850249664,-2.2788770250525,300,25
-4.10871840630365,-2.17994532510289,300,25
-4.02336247331296,-2.06754594238953,300,25
-3.90712820778729,-1.95122335238265,300,25
-3.76909976751575,-1.84208087694959,300,25
-3.61384869024964,-1.75019538717112,300,25
-3.4363047480328,-1.67319748586388,300,25
-3.23312252845437,-1.60408163865854,300,25
-3.00980449469026,-1.54336550663045,300,25
-2.77797703847578,-1.49265199369175,300,25
-2.55260169683867,-1.45453025455642,300,25
-2.33707833337347,-1.42396128472125,300,25
-2.12889061360136,-1.39089408471006,300,25
-1.93061398225463,-1.35371093433949,300,25
-1.74741776695838,-1.31224856194594,300,25
-1.58572844598944,-1.26864820853412,300,25
-1.44579550271101,-1.21969801591784,300,25
-1.31812978719024,-1.16033502491203,300,25
-1.19903017156754,-1.09275976045464,300,25
-1.08822818908398,-1.02105678718323,300,25
-0.981486115512089,-0.944685567495228,300,25
-0.867079962460546,-0.860983678120048,300,25
-0.743295477999117,-0.775259557490403,300,25
-0.615322244154216,-0.694809203469557,300,25
-0.491614301178693,-0.62743435338131,300,25
-0.374886532762086,-0.57448979324298,300,25
-0.258412961497173,-0.532378802525536,300,25
-0.142139658873517,-0.501496145039673,300,25
-0.0298852221739141,-0.483070038180978,300,25
0.0766387636356063,-0.474795793128677,300,25
0.186228630312983,-0.469092095062557,300,25
0.299916932581263,-0.463185786553229,300,25
0.41504038773945,-0.456059655884976,300,25
0.526580821463484,-0.448179620484713,300,25
0.635121734249867,-0.436673331115477,300,25
0.747489623236166,-0.410093143777912,300,25
0.863828703626454,-0.365840528810025,300,25
0.983371552452048,-0.308733318999324,300,25
