I_alpha,I_beta,Irradiance,Temperature
-0.904527248043288,0.346247561725028,300,25
-1.01200438174987,0.271686051097657,300,25
-1.12741821983154,0.175880025320005,300,25
-1.25140732908177,0.0582945465797542,300,25
-1.38468612653581,-0.0721016400902768,300,25
-1.52628233409659,-0.202331648884108,300,25
-1.67071852056644,-0.323316345794582,300,25
-1.81653751242514,-0.448167969850244,300,25
-1.96175511776007,-0.580890803616299,300,25
-2.10615285096841,-0.718233673833666,300,25
-2.25084626898365,-0.852369242934774,300,25
-2.39297841722352,-0.98149642695752,300,25
-2.52533367580191,-1.11187924876235,300,25
-2.64681832437312,-1.2408289256185,300,25
-2.7597655704022,-1.36212433079357,300,25
-2.86942495801528,-1.46720635478803,300,25
-2.97780666119096,-1.55571320190943,300,25
-3.08217003947725,-1.63760792322451,300,25
-3.18520531910842,-1.71480751838304,300,25
-3.29189524748988,-1.78576811414937,300,25
-3.40362431023484,-1.85486146493992,300,25
-3.51636747272458,-1.93482964358616,300,25
-3.63161794789866,-2.0274118982537,300,25
-3.75317180836189,-2.12872700650095,300,25
-3.87953881709625,-2.23077809879201,300,25
-3.99639577462636,-2.33144968644836,300,25
-4.09216628683123,-2.43832356952231,300,25
-4.16541468426417,-2.54970753655261,300,25
-4.22162858914616,-2.66039477405836,300,25
-4.27166398935095,-2.76288761646633,300,25
-4.31494037388877,-2.85738978370672,300,25
-4.33356523222032,-2.95518093569982,300,25
-4.32703787043487,-3.05869330099525,300,25
-4.30233049047361,-3.16667043525973,300,25
-4.27214305824753,-3.27509567056307,300,25
-4.2379475148265,-3.38648053948683,300,25
-4.18363366643318,-3.51330288073833,300,25
-4.10998829058193,-3.65770602978908,300,25
-4.02454131754297,-3.81717361444018,300,25
-3.93977676919671,-3.98550632265772,300,25
-3.85763811512049,-4.16031662115591,300,25
-3.76417573609944,-4.34615986274943,300,25
-3.65991513765294,-4.54083406658252,300,25
-3.55126240988561,-4.73991400817835,300,25
-3.43926858721603,-4.93781053053082,300,25
-3.31557376213929,-5.12887590178804,300,25
-3.1839877903091,-5.30836877755414,300,25
-3.05343246339414,-5.4731838130983,300,25
-2.93603166686052,-5.62225159094078,300,25
-2.83502817278994,-5.75659595820099,300,25
-2.74178202827921,-5.87907593382184,300,25
-2.65657742910767,-5.99387615658344,300,25
-2.58291960616042,-6.10587522447594,300,25
-2.51648028668081,-6.21998916858874,300,25
-2.44388305515079,-6.34058604889591,300,25
-2.36323972104728,-6.4710412227955,300,25
-2.27837465628525,-6.61350124536009,300,25
-2.1979368256537,-6.76885344068589,300,25
-2.11445518838949,-6.92250755228854,300,25
-2.0148703853664,-7.06540149952883,300,25
-1.8987008657269,-7.19248751663309,300,25
-1.77240843024573,-7.30314269654823,300,25
-1.64737226578956,-7.40057524561534,300,25
-1.52126538731499,-7.48159892985431,300,25
-1.3787331330512,-7.53769351540308,300,25
-1.21842101735259,-7.56997736391798,300,25
-1.04582531598951,-7.58498383266713,300,25
-0.871621978408519,-7.59304034122507,300,25
-0.692595879141704,-7.59719359089176,300,25
-0.503466394413897,-7.59258042850437,300,25
-0.308270047004351,-7.5820797507519,300,25
-0.114963915713469,-7.57172547663264,300,25
0.0660532625500118,-7.5694741894971,300,25
0.24589837844711,-7.57504794640805,300,25
0.43463639117455,-7.57886318965983,300,25
0.633908094493592,-7.5796034284132,300,25
0.840504123868056,-7.5794684010963,300,25
1.04735718189741,-7.58380852513835,300,25
1.2502156530902,-7.59130177786867,300,25
1.44963363614282,-7.59229279342202,300,25
1.64154496727927,-7.58664044930264,300,25
1.82080280173619,-7.57874855158155,300,25
1.98713258446964,-7.56789775044295,300,25
2.14655139157976,-7.5458605783035,300,25
2.30067651048226,-7.51493510469319,300,25
2.44943745642745,-7.48243728824816,300,25
2.59635962384188,-7.45053948598045,300,25
2.74983352986804,-7.4130185833876,300,25
2.91194364679897,-7.37362374353132,300,25
3.08156870155224,-7.34002436975627,300,25
3.25497876944447,-7.3224069155808,300,25
3.42830325909988,-7.31763331719846,300,25
3.59886862180834,-7.30392508189531,300,25
3.76292830487755,-7.27522653922144,300,25
3.91698514111266,-7.23285050492492,300,25
4.05851766265623,-7.18422767122773,300,25
4.19107684596424,-7.13314236342021,300,25
4.32102754457573,-7.0669270444559,300,25
4.44402093570498,-6.97296102101055,300,25
4.55956862767044,-6.85345790977893,300,25
