V,I,P,Irr,T
31.31735,2.796220838,87.57022665,100,40
31.5453,2.796138237,88.20501952,100,40
31.77325,2.796055636,88.83977474,100,40
32.0012,2.795973036,89.47449231,100,40
32.22915,2.795890435,90.10917221,100,40
32.4571,2.795807834,90.74381445,100,40
32.68505,2.795725233,91.37841904,100,40
32.913,2.795642633,92.01298596,100,40
33.14095,2.795560032,92.64751523,100,40
33.3689,2.795477431,93.28200684,100,40
33.59685,2.79539483,93.91646079,100,40
33.8248,2.795312229,94.55087708,100,40
34.05275,2.795229628,95.18525571,100,40
34.2807,2.795147027,95.81959669,100,40
34.50865,2.795064426,96.4539,100,40
34.7366,2.794981825,97.08816565,100,40
34.96455,2.794899224,97.72239365,100,40
35.1925,2.794816622,98.35658398,100,40
35.42045,2.794734021,98.99073666,100,40
35.6484,2.79465142,99.62485168,100,40
35.87635,2.794568819,100.258929,100,40
36.1043,2.794486217,100.8929687,100,40
36.33225,2.794403616,101.5269708,100,40
36.5602,2.794321014,102.1609351,100,40
36.78815,2.794238413,102.7948619,100,40
37.0161,2.794155811,103.4287509,100,40
37.24405,2.794073209,104.0626023,100,40
37.472,2.793990608,104.6964161,100,40
37.69995,2.793908006,105.3301921,100,40
37.9279,2.793825404,105.9639305,100,40
38.15585,2.793742802,106.5976313,100,40
38.3838,2.7936602,107.2312944,100,40
38.61175,2.793577598,107.8649198,100,40
38.8397,2.793494996,108.4985076,100,40
39.06765,2.793412394,109.1320577,100,40
39.2956,2.793329791,109.7655702,100,40
39.52355,2.793247189,110.3990449,100,40
39.7515,2.793164587,111.0324821,100,40
39.97945,2.793081984,111.6658815,100,40
40.2074,2.792999381,112.2992433,100,40
40.43535,2.792916779,112.9325675,100,40
40.6633,2.792834176,113.5658539,100,40
40.89125,2.792751573,114.1991028,100,40
41.1192,2.79266897,114.8323139,100,40
41.34715,2.792586367,115.4654874,100,40
41.5751,2.792503764,116.0986232,100,40
41.80305,2.79242116,116.7317214,100,40
42.031,2.792338557,117.3647819,100,40
42.25895,2.792255953,117.9978047,100,40
42.4869,2.79217335,118.6307899,100,40
42.71485,2.792090746,119.2637374,100,40
42.9428,2.792008142,119.8966472,100,40
43.17075,2.791925538,120.5295194,100,40
43.3987,2.791842933,121.1623539,100,40
43.62665,2.791760329,121.7951508,100,40
43.8546,2.791677725,122.4279099,100,40
44.08255,2.79159512,123.0606315,100,40
44.3105,2.791512515,123.6933153,100,40
44.53845,2.79142991,124.3259615,100,40
44.7664,2.791347305,124.95857,100,40
44.99435,2.7912647,125.5911408,100,40
45.2223,2.791182094,126.223674,100,40
45.45025,2.791099488,126.8561695,100,40
45.6782,2.791016883,127.4886274,100,40
45.90615,2.790934276,128.1210475,100,40
46.1341,2.79085167,128.75343,100,40
46.36205,2.790769064,129.3857749,100,40
46.59,2.790686457,130.018082,100,40
46.81795,2.79060385,130.6503515,100,40
47.0459,2.790521243,131.2825833,100,40
47.27385,2.790438636,131.9147775,100,40
47.5018,2.790356028,132.546934,100,40
47.72975,2.79027342,133.1790528,100,40
47.9577,2.790190812,133.8111339,100,40
48.18565,2.790108203,134.4431774,100,40
48.4136,2.790025595,135.0751831,100,40
48.64155,2.789942986,135.7071512,100,40
48.8695,2.789860376,136.3390817,100,40
49.09745,2.789777767,136.9709744,100,40
49.3254,2.789695157,137.6028295,100,40
49.55335,2.789612547,138.2346469,100,40
49.7813,2.789529936,138.8664266,100,40
50.00925,2.789447325,139.4981686,100,40
50.2372,2.789364714,140.129873,100,40
50.46515,2.789282102,140.7615397,100,40
50.6931,2.78919949,141.3931687,100,40
50.92105,2.789116878,142.02476,100,40
51.149,2.789034265,142.6563136,100,40
51.37695,2.788951652,143.2878296,100,40
51.6049,2.788869038,143.9193078,100,40
51.83285,2.788786424,144.5507484,100,40
52.0608,2.788703809,145.1821513,100,40
52.28875,2.788621194,145.8135165,100,40
52.5167,2.788538579,146.444844,100,40
52.74465,2.788455963,147.0761338,100,40
52.9726,2.788373346,147.7073859,100,40
