I_alpha,I_beta,Irradiance,Temperature
-6.14170487830007,4.42179468136383,300,25
-6.25087119305246,4.26292452974649,300,25
-6.36311625262644,4.111778332261,300,25
-6.47327024153537,3.96368850019206,300,25
-6.57941138320122,3.82171925103144,300,25
-6.68105438637041,3.69215664242455,300,25
-6.7739601749242,3.57417927865652,300,25
-6.85832166589494,3.4442467623343,300,25
-6.93719424822945,3.29401565115649,300,25
-7.01498637350745,3.1238997619639,300,25
-7.09690419237569,2.94150220544534,300,25
-7.18312599980773,2.75073742434784,300,25
-7.26807949881315,2.5491543248887,300,25
-7.35090438792294,2.34432574171478,300,25
-7.43279083218447,2.147395847773,300,25
-7.5118704883721,1.96259319218906,300,25
-7.58209329422482,1.78408670023066,300,25
-7.64388737198223,1.61385919815831,300,25
-7.70111491780287,1.45637176668605,300,25
-7.76016322152,1.31745376190032,300,25
-7.82405788627551,1.19493877414698,300,25
-7.89031599876216,1.07600403442833,300,25
-7.96156968258356,0.956713099017256,300,25
-8.04220418526934,0.837153472893069,300,25
-8.13091399768803,0.720925865043815,300,25
-8.21306952079746,0.605671690106736,300,25
-8.27646951818289,0.479905432984572,300,25
-8.31904680027983,0.342592423374679,300,25
-8.34524425883305,0.197524690965751,300,25
-8.36003144910289,0.0438482712063288,300,25
-8.35628834576187,-0.12775224654671,300,25
-8.32189186957539,-0.315752318048228,300,25
-8.25957952920779,-0.513721479285437,300,25
-8.17974471293024,-0.712087167550838,300,25
-8.09336955575716,-0.908190931519804,300,25
-7.99804744437727,-1.11053699223836,300,25
-7.88504861961731,-1.31902623139722,300,25
-7.75847262515854,-1.53069338833275,300,25
-7.62817891688947,-1.74068838498839,300,25
-7.50752112230859,-1.94327616615392,300,25
-7.40004169249517,-2.1353106231936,300,25
-7.29492562648093,-2.31777515180117,300,25
-7.19227890047264,-2.49032280225152,300,25
-7.09622207495984,-2.65293338321876,300,25
-7.0040697938207,-2.80602697346607,300,25
-6.90329779782424,-2.9505000170092,300,25
-6.79358161853738,-3.08764999821633,300,25
-6.68030768611054,-3.21908213096079,300,25
-6.57325557985912,-3.34657566152209,300,25
-6.47471200838707,-3.47195423437046,300,25
-6.37634264192285,-3.5969625433471,300,25
-6.27986367038189,-3.72313832741025,300,25
-6.1909767855309,-3.85175649203408,300,25
-6.10805998787321,-3.98382542464862,300,25
-6.02018703970644,-4.1201180712918,300,25
-5.92736525664841,-4.26120649360054,300,25
-5.8349752024201,-4.40754436852243,300,25
-5.74385636175577,-4.54534880912892,300,25
-5.64963842703628,-4.66697212732366,300,25
-5.54087739874994,-4.76940954956937,300,25
-5.41829429222863,-4.85415396356191,300,25
-5.28890909312016,-4.92655356391953,300,25
-5.15311544260865,-4.99454813377228,300,25
-4.99944836101644,-5.05803064376754,300,25
-4.82261804920139,-5.10933447180058,300,25
-4.62707293443778,-5.1483673897025,300,25
-4.42344092712479,-5.17890264505297,300,25
-4.21507596454903,-5.20764538467424,300,25
-3.99337111090775,-5.23387611585781,300,25
-3.75355277637997,-5.24929366801847,300,25
-3.49978498611497,-5.25391223836069,300,25
-3.24159309997754,-5.25206909680997,300,25
-2.99160061342222,-5.25126330980204,300,25
-2.75110661154375,-5.25175369302971,300,25
-2.5181119818187,-5.245610630184,300,25
-2.29529574010326,-5.23349931362099,300,25
-2.08668411774664,-5.21997234098363,300,25
-1.89180176743645,-5.20380170972371,300,25
-1.70455342425962,-5.17614963005039,300,25
-1.52357751204707,-5.13823719189863,300,25
-1.34956744365965,-5.0962392814724,300,25
-1.18478150008849,-5.05981597689653,300,25
-1.02747547906043,-5.03183011317263,300,25
-0.87053800042956,-5.0053965291029,300,25
-0.712467245830217,-4.98239872534994,300,25
-0.554356450596983,-4.96800933191061,300,25
-0.395619707129246,-4.96097160683492,300,25
-0.247695913427917,-4.95089990150704,300,25
-0.123260283172613,-4.93745454857461,300,25
-0.0297422642510066,-4.92506210912459,300,25
0.0289541962780335,-4.92162630359797,300,25
0.0521894561946358,-4.92298827513969,300,25
0.0428950236419207,-4.90763424240795,300,25
0.0067627136333972,-4.87099630446852,300,25
-0.0485885324178907,-4.81675656556231,300,25
-0.114361393275344,-4.75503274465988,300,25
-0.178686369264163,-4.69195694547631,300,25
-0.237543397555788,-4.61668623270761,300,25
-0.283563301448131,-4.51774612090908,300,25
-0.311386406785281,-4.39766226496618,300,25
